Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,158.575,-106.525,45,top
C2,0.1uF,C_0402_1005Metric,155.175,-117.23,-90,top
C3,0.1uF,C_0402_1005Metric,147.925,-112.83,180,top
C4,0.1uF,C_0402_1005Metric,148.525,-108,180,top
C5,0.1uF,C_0402_1005Metric,157.075,-106.75,90,top
C6,0.1uF,C_0402_1005Metric,154.425,-103.55,90,top
C7,0.1uF,C_0402_1005Metric,155.385,-102.81,90,top
C8,0.1uF,C_0402_1005Metric,158.405,-108.175,0,top
C9,0.1uF,C_0402_1005Metric,159.395,-112.58,0,top
C10,1uF,C_0402_1005Metric,156.215,-117.24,-90,top
C11,0.1uF,C_0402_1005Metric,156.1,-106.42,90,top
C12,0.1uF,C_0402_1005Metric,153.4,-103.55,90,top
C13,10uF,C_0603_1608Metric,149.05,-91.45,90,top
C14,10uF,C_0603_1608Metric,149.9,-97.95,180,top
C15,33pF,C_0402_1005Metric,149.875,-119.4,-90,top
C16,33pF,C_0402_1005Metric,153.5,-120.42,90,top
C17,0.1uF,C_0402_1005Metric,152.22,-100.25,-90,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,153.375,-84.6,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,144.485,-83.47,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,162.265,-83.47,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,150.95,-130.4,90,top
R1,5.1K,R_0402_1005Metric,152.49,-91.4,0,top
R2,5.1K,R_0402_1005Metric,157.44,-94.05,0,top
R3,27,R_0402_1005Metric,154.05,-106.09,-90,top
R4,27,R_0402_1005Metric,155.1,-106.09,-90,top
R5,1K,R_0402_1005Metric,153.315,-116.91,180,top
R6,1K,R_0402_1005Metric,156.9,-99.25,0,top
R7,10K,R_0402_1005Metric,149.095,-101.97,0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,153.5,-126.35,0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,153.375,-111.6,0,top
U2,MCP1700x-330xxTT,SOT-23,150.925,-93.65,180,top
U4,W25Q16JVUXIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,150.175,-103.925,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,150.25,-122.5,180,top
